Filename,Lyrics
./Corpus\(G)I-DLE_I Do.txt,"I DO
by
(G)I-DLE
2023

Hit me like a shot in the heart (Oh-oh-oh)
Never shoulda played you so hard
Guess I played myself that's my fault (Um-um-um)

I don't even know how to think
'Cause now she got your heart so I feel
Stupid
Foolish
'Fraid I'm
Losing
Everything
I thought I couldn't
My whole world is falling apart

Don't you go falling in love
Trust me she's not the one
She won't ever
Love you like I do
Hold you like I do
Know you like I do

Don't you go falling in love
'Cause Imma break that shit up
I won't let her
Love you like I do
Touch you like I do
Nothing like I do
Nothing like I do

Hit me like a poisonous dart
You were trouble right from the start
Should have ran I guess it's my fault (Um-um-um)

I don't even know how to think
'Cause now she got your heart so I feel
Stupid
Foolish
'Fraid I'm
Losing
Everything
I thought I couldn't
My whole world is falling apart

Don't you go falling in love
Trust me she's not the one
She won't ever
Love you like I do
Hold you like I do
Know you like I do

Don't you go falling in love
'Cause Imma break that shit up
I won't let her
Love you like I do
Touch you like I do
Nothing like I do
Nothing like I do"
./Corpus\(G)I-DLE_I Want That.txt,"I Want That
by
(G)I-DLE
2023

I want the oh, my, oh, my, O-M-G
I want that right now, no B-R-B
I want that all matte big black S-U-V
I want that, I want that
I want the oh, my, oh, my, O-M-G
I want that right now, that you and me
I want that, oui, merci, no, c'est la vie
I want that, I want that

Don't stop, we run through the yellows
We go pedal to the metal
Then on stage collecting the medals
We here, ain't no higher level
If you wondering, I'm too hot for layers
See you only when I come up for air
Get you tongue tied, don't know what to say, I–
What? Huh?

I want you to fall, hardest of all
Until the tears roll down your face
Saying my name or nothing at all
I only want everything

I want the oh, my, oh, my, O-M-G
I want that right now, no B-R-B
I want that all matte big black S-U-V
I want that, I want that
I want the oh, my, oh, my, O-M-G
I want that right now, that you and me
I want that, oui, merci, no, c'est la vie
I want that, I want that

Green light, stop doing nothing
Start pushing, loosen my buttons
Share one seat from L.A. to London (Uh)
This could turn into something
We could do this all up and down the coastline
If you wanna come in close, no, I don't bite
Get on over here, and don’t fight the moonlight (Oh)

I want you to fall, hardest of all
Until the tears roll down your face
Saying my name or nothing at all
I only want everything

I want the oh, my, oh, my, O-M-G
I want that right now, no B-R-B
I want that all matte big black S-U-V
I want that, I want that
I want the oh, my, oh, my, O-M-G
I want that right now, that you and me
I want that, oui, merci, no, c'est la vie
I want that, I want that

I want that P-S-Y-C-H-O-T-I-C
Kind of love, oh, oh
P-S-Y-C-H-O-T-I-C
Kind of love (Oh)

I want the oh, my, oh, my, O-M-G (Hey, hey)
I want that right now, no B-R-B (Let's go)
I want that all matte big black S-U-V
I want that, I want that (Yeah)
I want the oh, my, oh, my, O-M-G
I want that right now, that you and me
I want that, oui, merci, no, c'est la vie (Oh)
I want that, I want that (Yeah)"
./Corpus\aespa_Better Things.txt,"Better Things
by
aespa
2023

Oh, oh, oh
Got better things to do with my time
Better things to do with my time
Do with my time than you
Oh, I got better things to do with my time
Better things to do with my time, do with my time

I wasn't ever sure that I loved you
But I was always sure you would let me down
I wasn't ever sure if I'd trust you
But I'm so goddamn sure my energy is just too precious to waste

So now you, now you wanna know me, wanna know me
You wanna know all about me, wanna know about me
But he can't have me 'cause I left him alone
You know you wanna know me, you wanna know me
You wanna know all about me, wanna know about me
But he can't have me 'cause I'm gone, no, no, no

That I, I got better things to do with my time
Better things to do with my time
Do with my time than you
Oh, I got better things to do with my time
Better things to do with my time, do with my time
Break it down
Oh I, better things to do with my time
Better things to do with my time
Do with my time than you (Yes)

Wasn't ever sure if I loved you
But I was always sure you would have loved me back
You had me right, right, right at my weakest, yeah
Now you're hurting, I can see you're mad
'Cause you're never gonna get that back

Now I know you wanna know me, wanna know me
You wanna know all about me, wanna know about me
But he can't have me 'cause I left him alone
You know you wanna know me, you wanna know me
You wanna know all about me, wanna know about me
But he can't have me 'cause I'm gone, no, no, no

That I, I got better things to do with my time
Better things to do with my time
Do with my time than you
Oh, I got better things to do with my time
Better things to do with my time, do with my time
Break it down

I'm sorry that it hurts you
No, I'm sorry I ain't sorry
Aespa, big girls making money
Aespa, you're our number one fan now, you can only see me at our sold out shows
Sold out show
Will I ever go back? (No)
Will I ever trip up? (No)
Will I ever pull up on him? (No)
Watch and see, 'bout to throw another rhythm on him (Oh, that)

I, I got better things to do with my time
Better things to do with my time
Do with my time than you
Oh, I got better things to do with my time
Better things to do with my time, do with my time
Break it down (Hey)

I got better things to do with my time
Hey
I got better things to do with my time
Hey

I'm sorry that it hurts you
No, I'm sorry I ain't sorry
Aespa, big girls making money
Aespa, you're our number one fan now, you can only see me at our sold out shows
Sold out show
Will I ever go back? (No)
Will I ever trip up? (No)
Will I ever pull up on him? (No)
Watch and see, 'bout to throw another rhythm on him"
./Corpus\BTS_Butter.txt,"Butter
by
BTS
2021

Smooth like butter
Like a criminal undercover
Gon' pop like trouble
Breakin' into your heart like that (Ooh)
Cool shade stunner
Yeah, I owe it all to my mother
Hot like summer
Yeah, I'm makin' you sweat like that
Break it down

Oh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like

Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

Smooth like butter
Pull you in like no other
Don't need no Usher
To remind me you got it bad
Ain't no other
That can sweep you up like a robber
Straight up, I got ya
Makin' you fall like that
Break it down

Oh, when I look in the mirror
I'll melt your heart into two
I got that superstar glow so (Ooh)
Do the boogie like

Side step, right, left to my beat
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap
Side step, right, left to my beat
Get it, let it roll

Get it, let it roll
Get it, let it roll

Ice on my wrist, I'm the nice guy
Got the right body and the right mind
Rollin' up to party, got the right vibe
Smooth like (Butter), hate us (Love us)
Fresh boy pull up and we lay low
All the playas get movin' when the bass low
Got ARMY right behind us when we say so
Let's go

Side step, right, left to my beat (Right, left to my beat)
High like the moon, rock with me, baby
Know that I got that heat
Let me show you 'cause talk is cheap (You know that talk is cheap)
Side step, right, left to my beat
Get it, let it roll

Smooth like (Butter), cool shade (Stunner)
Ain't you know we don't stop
Hot like (Summer), ain't no (Bummer)
You be like, oh my God
We gon' make you rock and you say (Yeah)
We gon' make you bounce and you say (Yeah)
Hotter? Sweeter! Cooler? Butter!

Get it, let it roll"
./Corpus\BTS_Dynamite.txt,"Dynamite
by
BTS
2020

'Cause, ah-ah, I'm in the stars tonight
So watch me bring the fire and set the night alight

Shoes on, get up in the morn
Cup of milk, let's rock and roll
King Kong, kick the drum, rolling on like a rolling stone
Sing song when I'm walking home
Jump up to the top, LeBron
Ding dong, call me on my phone
Ice tea and a game of ping pong

This is getting heavy
Can you hear the bass boom? I'm ready
Life is sweet as honey
Yeah, this beat cha ching like money
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Hey, so let's go

'Cause, ah-ah, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, whoa

Bring a friend, join the crowd
Whoever wanna come along
Word up, talk the talk, just move like we off the wall
Day or night the sky's alight
So we dance to the break of dawn
Ladies and gentlemen, I got the medicine, so you should keep ya eyes on the ball, huh

This is getting heavy
Can you hear the bass boom? I'm ready
Life is sweet as honey
Yeah, this beat cha ching like money
Disco overload, I'm into that, I'm good to go
I'm diamond, you know I glow up
Let's go

'Cause, ah-ah, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, whoa

Dy-na-na-na, na-na, na-na-na, na-na, life is dynamite
Dy-na-na-na, na-na, na-na-na, na-na, life is dynamite
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, whoa

Dy-na-na-na, na-na, na-na, eh
Dy-na-na-na, na-na, na-na, eh
Dy-na-na-na, na-na, na-na, eh
Light it up, dynamite

Dy-na-na-na, na-na, na-na, eh
Dy-na-na-na, na-na, na-na, eh
Dy-na-na-na, na-na, na-na, eh
Light it up, dynamite

'Cause, ah-ah, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite

(This is ah)

'Cause, ah-ah, I'm in the stars tonight
So watch me bring the fire and set the night alight
Shining through the city with a little funk and soul
So I'ma light it up like dynamite, whoa

Dy-na-na-na, na-na, na-na-na, na-na, life is dynamite
Dy-na-na-na, na-na, na-na-na, na-na, life is dynamite
Shining through the city with a little funk and soul
I'ma light it up like dynamite, whoa"
./Corpus\BTS_Permission to Dance.txt,"Permission to Dance
by
BTS
2021

It's the thought of being young
When your heart's just like a drum
Beating louder with no way to guard it
When it all seems like it's wrong
Just sing along to Elton John
And to that feeling, we're just getting started

When the nights get colder
And the rhythms got you falling behind
Just dream about that moment
When you look yourself right in the eye, eye, eye
Then you say

I wanna dance
The music's got me going
Ain't nothing that can stop how we move, yeah
Let's break our plans
And live just like we're golden
And roll in like we're dancing fools

We don't need to worry
'Cause when we fall, we know how to land
Don't need to talk the talk
Just walk the walk tonight
'Cause we don't need Permission to Dance

There's always something that's standing in the way
But if you don't let it faze ya
You'll know just how to break
Just keep the right vibe, yeah
'Cause there's no looking back
There ain't no one to prove
We don't got this on lock, yeah

The wait is over
The time is now
So let's do it right
Yeah, we'll keep going
And stay up until we see the sunrise
And we'll say

I wanna dance
The music's got me going
Ain't nothing that can stop how we move, yeah
Let's break our plans
And live just like we're golden
And roll in like we're dancing fools

We don't need to worry
'Cause when we fall, we know how to land
Don't need to talk the talk
Just walk the walk tonight
'Cause we don't need Permission to Dance

Da-na-na-na-na-na-na
Da-na-na-na-na-na-na
Da-na-na-na-na-na-na
No, we don't need Permission to Dance

Da-na-na-na-na-na-na
Da-na-na-na-na-na-na
Da-na-na-na-na-na-na

Well, let me show ya
That we can keep the fire alive
'Cause it's not over
'Till it's over, say it one more time
Say

I wanna dance
The music's got me going
Ain't nothing that can stop how we move, yeah
Let's break our plans
And live just like we're golden
And roll in like we're dancing fools

We don't need to worry
'Cause when we fall, we know how to land
Don't need to talk the talk
Just walk the walk tonight
'Cause we don't need Permission to Dance"
./Corpus\FIFTY FIFTY_Cupid.txt,"Cupid (Twin Version)
by
FIFTY FIFTY
2023

La, la, la, la-la-la
La, la-la-la, la, la-la-la

A hopeless romantic all my life
Surrounded by couples all the time
I guess I should take it as a sign
(Oh why, oh why, oh why, oh why?)

I'm feeling lonely (Lonely)
Oh, I wish I'd find a lover that could hold me (Hold me)
Now, I'm crying in my room
So skeptical of love (Say what you say, but I want it more)
But still, I want it more, more, more

I gave a second chance to Cupid
But now, I'm left here feeling stupid
Oh, the way he makes me feel
That love isn't real
Cupid is so dumb

I look for his arrows every day
I guess he got lost or flew away
Waiting around is a waste (Waste)
Been counting the days since November
Is loving as good as they say?

Now I'm so lonely (Lonely)
Oh, I wish I'd find a lover that could hold me (Hold me)
Now I'm crying in my room
So skeptical of love (Say what you say, but I want it more)
But still, I want it more, more, more

I gave a second chance to Cupid
But now, I'm left here feeling stupid
Oh, the way he makes me feel
That love isn't real
Cupid is so dumb
(Cupid is so dumb)

Hopeless girl is seeking
Someone who will share this feeling
I'm a fool
A fool for love, a fool for love

I gave a second chance to Cupid
But now, I'm left here feeling stupid
Oh, the way he makes me feel
That love isn't real
Cupid is so dumb
I gave a second chance to Cupid
(Hopeless girl is seeking someone)
But now, I'm left here feeling stupid
(Who will share this feeling)
Oh, the way he makes me feel
That love isn't real
(I'm a fool)
Cupid is so dumb
(A fool for love, a fool for love)
"
./Corpus\ITZY_Boys Like You.txt,"Boys Like You
by
ITZY
2022

Why you're calling me up
Saying sorry again
Already told you we're done
What didn't you get?
Don't forget you're the one
That tried to get with my friends
The end the end the end the end

Well, you must be going crazy
Thinking I'll be back, I'm sorry
'Cause you're crying like a baby
But do I look like your mommy?
Take a look into that mirror
If you wonder why you lost me
Gotta sit down and shut up
You did it to yourself

Boy, gonna diss me?
Boy, I'm so pissed
Boy, gonna miss me
Boy, you are dismissed
'Cause I don't fall for boys like you (I don't fall for)
I don't fall for boys like you (I don't fall for)
Boy, wanna date me?
Boy, outta date, yeah
Boy, wanna ""What? No!""
Boy, outta my way
'Cause I don't fall for boys like you (I don't fall for)
I don't fall for boys like you (I don't fall for)

I see through sweet little lies
And every excuse
When you start every fight
The blame is on you
One red flag and I'm gone already onto
The next, the next, the next
Well you must be going crazy
Thinking I'll be back, I'm sorry
'Cause you're crying like a baby
But do I look like your mommy?
Take a look into that mirror
If you wonder why you lost me
Gotta sit down and shut up
You did it to yourself

Boy, gonna diss me?
Boy, I'm so pissed
Boy, gonna miss me
Boy, you are dismissed
Cause I don't fall for boys like you (I don't fall for)
I don't fall for boys like you (I don't fall for)
Boy, wanna date me?
Boy, outta date, yeah
Boy, wanna ""What? No!""
Boy, outta my way
'Cause I don't fall for boys like you (I don't fall for)
I don't fall for boys like you (I don't fall for)

You can raise your voice
But know that you have no choice
Don't care what you do (You)
You can raise your voice
But know that you have no choice
Don't care what you do (You)

So turn around, walk away
You made your bed, so you gotta lay
Get outta my way

Boy, gonna diss me?
Boy, I'm so pissed
Boy, gonna miss me
Boy, you are dismissed
'Cause I don't fall for boys like you (I don't fall for)
I don't fall for boys like you (I don't fall for)
Boy, wanna date me?
Boy, outta date, yeah
Boy, wanna ""What? No!""
Boy, outta my way
Cause I don't fall for boys like you (I don't fall for)
I don't fall for boys like you (I don't fall for)

You can raise your voice, but know that you have no choice
Don't care what you do (You)
You can raise your voice, but know that you have no choice
Don't care what you do (You)
Oh, you"
./Corpus\JENNIE_You & Me.txt,"You & Me
by
JENNIE
2023

You know I gotcha
You know that I got you like that
Ain't nobody gonna have your back like the way I do
You love it, just say you do
You know you got me
Everything you do, everything you did
Everything I wish I was with, makes me feel alright
I'm just saying, so

I really like it
Nothin' in the world can make me feel the way you do, the things you do
I really like it
Nothin' in the world can make me feel the way you do, the things you do

I love you and me
Dancing in the moonlight
Nobody can see
It's just you and me tonight
I love you and me
Dancing in the moonlight
Nobody can see
It's just you and me tonight

Look at you, now look at me
How you ever, ever gonna find someone like this?
Look at you, now look at me
How you ever, ever gonna find someone like this?

You're the reason my heart skips, drops
Just a little touch, my world stops
Finally, I know that you're mine
I don't wanna fall
Don't wanna play this game of love, oh-eh-oh
There's nowhere to hide

I really like it
Nothing in the world can make me feel the way you do, the things you do
I really like it
Nothing in the world can make me feel the way you do, the things you do

I love you and me
Dancing in the moonlight
Nobody can see
It's just you and me tonight
I love you and me
Dancing in the moonlight
Nobody can see
It's just you and me tonight

Look at you, now look at me
How you ever, ever gonna find someone like this?
Look at you, now look at me
How you ever, ever gonna find someone like this?

(Ever, ever gonna find someone like this)
(Someone like this)

I don't care 'bout your first love
This should be your last one
Nothin' like your last one
You look better on me, that's fashion
Won't block your shots, lights, camera, action
Never been a love me or a love me not thing
Every petal better tell him, better not change
I love you, I love me a lot, wait
Which one I love better? Better off not saying

I love you and me"
./Corpus\Jung Kook_Seven.txt,"Seven (Clean Version) (feat. Latto)
by
Jung Kook
2023

Weight of the world on your shoulders
I kiss your waist and ease your mind
I must be favored to know ya
I take my hands and trace your lines

It's the way that we can ride
It's the way that we can ride (Oh-oh-oh-oh)
Think I met you in another life
So break me off another time (Oh-oh-oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be lovin' you right

Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right
Seven days a week

You love when I jump right in
All of me I'm offering
Show you what devotion is
Deeper than the ocean is
Wind it back, I'll take it slow
Leave you with that afterglow
Show you what devotion is
Deeper than the ocean is

It's the way that we can ride
It's the way that we can ride (Oh-oh-oh-oh)
Think I met you in another life
So break me off another time (Oh-oh-oh-oh)
You wrap around me and you give me life
And that's why night after night
I'll be lovin' you right

Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week
Every hour, every minute, every second
You know night after night
I'll be lovin' you right (I'll be lovin' you right)
Seven days a week
Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday (A week)
Monday, Tuesday, Wednesday, Thursday, Friday
Seven days a week (Oh, oh, seven days a week)
Every hour, every minute, every second
You know night after night (Night after night)
I'll be lovin' you right (I'll be lovin' you right)
Seven days a week
(Big Latto)

Tightly take control, tightly take his soul
Take your phone and put it in the camera roll (Uh)
Leave them clothes at the door
What you waiting for? Better come and hit ya goals
He jump in it both feet
Going to the sun-up, we ain't gettin' no sleep
Seven days a week, seven different sheets
